TITLE = "FEHM V3.3.0lin 18-01-19 QA:NA  07/06/2018  10:13:46 # run.dat"
VARIABLES = "node" "Liquid Pressure (MPa)" "Temperature (<sup>o</sup>C)"
ZONE T ="Simulation time   0.00000000    days"
 0000000001    12.8316043    52.0581032
 0000000002    12.8315840    52.1860971
 0000000003    12.8315779    52.2172491
 0000000004    12.8315788    52.2245653
 0000000005    12.8315816    52.2256972
 0000000006    12.8315842    52.2254918
 0000000007    12.8315863    52.2251602
 0000000008    12.8315878    52.2249293
 0000000009    12.8315888    52.2247967
 0000000010    12.8315895    52.2247266
 0000000011    12.8315900    52.2246911
 0000000012    12.8315903    52.2246737
 0000000013    12.8315905    52.2246653
 0000000014    12.8315906    52.2246613
 0000000015    12.8315907    52.2246594
 0000000016    12.8315908    52.2246586
 0000000017    12.8315908    52.2246582
 0000000018    12.8315908    52.2246580
 0000000019    12.8315909    52.2246579
 0000000020    12.8315909    52.2246579
 0000000021    12.8315909    52.2246578
 0000000022    12.8315909    52.2246578
 0000000023    12.8315909    52.2246578
 0000000024    12.8315909    52.2246578
 0000000025    12.8315909    52.2246578
 0000000026    12.8315909    52.2246578
 0000000027    12.8315909    52.2246578
 0000000028    12.8315909    52.2246578
 0000000029    12.8315909    52.2246578
 0000000030    12.8315909    52.2246578
 0000000031    12.8315909    52.2246578
 0000000032    12.8315909    52.2246579
 0000000033    12.8315909    52.2246579
 0000000034    12.8315908    52.2246580
 0000000035    12.8315908    52.2246582
 0000000036    12.8315908    52.2246586
 0000000037    12.8315907    52.2246594
 0000000038    12.8315906    52.2246613
 0000000039    12.8315905    52.2246653
 0000000040    12.8315903    52.2246737
 0000000041    12.8315900    52.2246911
 0000000042    12.8315895    52.2247266
 0000000043    12.8315888    52.2247967
 0000000044    12.8315878    52.2249293
 0000000045    12.8315863    52.2251602
 0000000046    12.8315842    52.2254918
 0000000047    12.8315816    52.2256972
 0000000048    12.8315788    52.2245653
 0000000049    12.8315779    52.2172491
 0000000050    12.8315840    52.1860971
 0000000051    12.8316043    52.0581032
 0000000052    12.8315840    52.1860971
 0000000053    12.8315375    52.7000000
 0000000054    12.8315309    52.7000000
 0000000055    12.8315322    52.7000000
 0000000056    12.8315351    52.7000000
 0000000057    12.8315377    52.7000000
 0000000058    12.8315397    52.7000000
 0000000059    12.8315412    52.7000000
 0000000060    12.8315422    52.7000000
 0000000061    12.8315428    52.7000000
 0000000062    12.8315433    52.7000000
 0000000063    12.8315436    52.7000000
 0000000064    12.8315438    52.7000000
 0000000065    12.8315439    52.7000000
 0000000066    12.8315440    52.7000000
 0000000067    12.8315441    52.7000000
 0000000068    12.8315441    52.7000000
 0000000069    12.8315441    52.7000000
 0000000070    12.8315442    52.7000000
 0000000071    12.8315442    52.7000000
 0000000072    12.8315442    52.7000000
 0000000073    12.8315442    52.7000000
 0000000074    12.8315442    52.7000000
 0000000075    12.8315442    52.7000000
 0000000076    12.8315442    52.7000000
 0000000077    12.8315442    52.7000000
 0000000078    12.8315442    52.7000000
 0000000079    12.8315442    52.7000000
 0000000080    12.8315442    52.7000000
 0000000081    12.8315442    52.7000000
 0000000082    12.8315442    52.7000000
 0000000083    12.8315442    52.7000000
 0000000084    12.8315442    52.7000000
 0000000085    12.8315441    52.7000000
 0000000086    12.8315441    52.7000000
 0000000087    12.8315441    52.7000000
 0000000088    12.8315440    52.7000000
 0000000089    12.8315439    52.7000000
 0000000090    12.8315438    52.7000000
 0000000091    12.8315436    52.7000000
 0000000092    12.8315433    52.7000000
 0000000093    12.8315428    52.7000000
 0000000094    12.8315422    52.7000000
 0000000095    12.8315412    52.7000000
 0000000096    12.8315397    52.7000000
 0000000097    12.8315377    52.7000000
 0000000098    12.8315351    52.7000000
 0000000099    12.8315322    52.7000000
 0000000100    12.8315309    52.7000000
 0000000101    12.8315375    52.7000000
 0000000102    12.8315840    52.1860971
 0000000103    12.8315779    52.2172491
 0000000104    12.8315309    52.7000000
 0000000105    12.8315240    52.7000000
 0000000106    12.8315253    52.7000000
 0000000107    12.8315281    52.7000000
 0000000108    12.8315306    52.7000000
 0000000109    12.8315326    52.7000000
 0000000110    12.8315340    52.7000000
 0000000111    12.8315350    52.7000000
 0000000112    12.8315356    52.7000000
 0000000113    12.8315361    52.7000000
 0000000114    12.8315364    52.7000000
 0000000115    12.8315366    52.7000000
 0000000116    12.8315367    52.7000000
 0000000117    12.8315368    52.7000000
 0000000118    12.8315369    52.7000000
 0000000119    12.8315369    52.7000000
 0000000120    12.8315369    52.7000000
 0000000121    12.8315369    52.7000000
 0000000122    12.8315369    52.7000000
 0000000123    12.8315370    52.7000000
 0000000124    12.8315370    52.7000000
 0000000125    12.8315370    52.7000000
 0000000126    12.8315370    52.7000000
 0000000127    12.8315370    52.7000000
 0000000128    12.8315370    52.7000000
 0000000129    12.8315370    52.7000000
 0000000130    12.8315370    52.7000000
 0000000131    12.8315370    52.7000000
 0000000132    12.8315370    52.7000000
 0000000133    12.8315370    52.7000000
 0000000134    12.8315369    52.7000000
 0000000135    12.8315369    52.7000000
 0000000136    12.8315369    52.7000000
 0000000137    12.8315369    52.7000000
 0000000138    12.8315369    52.7000000
 0000000139    12.8315368    52.7000000
 0000000140    12.8315367    52.7000000
 0000000141    12.8315366    52.7000000
 0000000142    12.8315364    52.7000000
 0000000143    12.8315361    52.7000000
 0000000144    12.8315356    52.7000000
 0000000145    12.8315350    52.7000000
 0000000146    12.8315340    52.7000000
 0000000147    12.8315326    52.7000000
 0000000148    12.8315306    52.7000000
 0000000149    12.8315281    52.7000000
 0000000150    12.8315253    52.7000000
 0000000151    12.8315240    52.7000000
 0000000152    12.8315309    52.7000000
 0000000153    12.8315779    52.2172491
 0000000154    12.8315788    52.2245653
 0000000155    12.8315322    52.7000000
 0000000156    12.8315253    52.7000000
 0000000157    12.8315264    52.7000000
 0000000158    12.8315292    52.7000000
 0000000159    12.8315317    52.7000000
 0000000160    12.8315336    52.7000000
 0000000161    12.8315350    52.7000000
 0000000162    12.8315359    52.7000000
 0000000163    12.8315366    52.7000000
 0000000164    12.8315370    52.7000000
 0000000165    12.8315373    52.7000000
 0000000166    12.8315375    52.7000000
 0000000167    12.8315376    52.7000000
 0000000168    12.8315377    52.7000000
 0000000169    12.8315378    52.7000000
 0000000170    12.8315378    52.7000000
 0000000171    12.8315378    52.7000000
 0000000172    12.8315378    52.7000000
 0000000173    12.8315379    52.7000000
 0000000174    12.8315379    52.7000000
 0000000175    12.8315379    52.7000000
 0000000176    12.8315379    52.7000000
 0000000177    12.8315379    52.7000000
 0000000178    12.8315379    52.7000000
 0000000179    12.8315379    52.7000000
 0000000180    12.8315379    52.7000000
 0000000181    12.8315379    52.7000000
 0000000182    12.8315379    52.7000000
 0000000183    12.8315379    52.7000000
 0000000184    12.8315379    52.7000000
 0000000185    12.8315379    52.7000000
 0000000186    12.8315378    52.7000000
 0000000187    12.8315378    52.7000000
 0000000188    12.8315378    52.7000000
 0000000189    12.8315378    52.7000000
 0000000190    12.8315377    52.7000000
 0000000191    12.8315376    52.7000000
 0000000192    12.8315375    52.7000000
 0000000193    12.8315373    52.7000000
 0000000194    12.8315370    52.7000000
 0000000195    12.8315366    52.7000000
 0000000196    12.8315359    52.7000000
 0000000197    12.8315350    52.7000000
 0000000198    12.8315336    52.7000000
 0000000199    12.8315317    52.7000000
 0000000200    12.8315292    52.7000000
 0000000201    12.8315264    52.7000000
 0000000202    12.8315253    52.7000000
 0000000203    12.8315322    52.7000000
 0000000204    12.8315788    52.2245653
 0000000205    12.8315816    52.2256972
 0000000206    12.8315351    52.7000000
 0000000207    12.8315281    52.7000000
 0000000208    12.8315292    52.7000000
 0000000209    12.8315319    52.7000000
 0000000210    12.8315343    52.7000000
 0000000211    12.8315362    52.7000000
 0000000212    12.8315376    52.7000000
